"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","sampleCode","subsampleID","scientificName","taxonID","family","subtribe","subfamily","tribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","identificationReferences","identificationProtocolVersion","dataQF"
"2d0c6f8c-ce30-4dcb-896a-6582d4091ec3","TALL_003.tickPlot.tck","TALL_003","2014-05-28T15:05Z","2015-02-09T17:00Z","TALL_003.20140528",NA,"TALL_003.20140528.AMBSPP.N","Amblyomma spp.","AMBSPP","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"",NA,NA,"","Nymph",41,"OK","90% ethanol","125261",NA,"Lorenza Beati","Georgia Southern University",NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"fbe3c341-b94b-42d4-a00b-35c93b7acf91","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T17:00Z","TALL_001.20140616",NA,"TALL_001.20140616.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",2,"OK","90% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"3c9ff50c-f078-459d-ba8b-3262905e4807","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T12:00Z","TALL_001.20140616",NA,"TALL_001.20140616.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",10,"OK","95% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"9283933c-d19d-4e48-af47-86cf4babb5e1","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T17:00Z","TALL_001.20140616",NA,"TALL_001.20140616.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",1,"OK","90% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"32e9e622-fa10-4534-a5af-5efa728341af","TALL_016.tickPlot.tck","TALL_016","2014-06-16T14:43Z","2015-02-11T17:00Z","TALL_016.20140616",NA,"TALL_016.20140616.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",1,"OK","90% ethanol","125281",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"1b0d141f-0e3a-4f05-9b0b-ec21cab57504","TALL_016.tickPlot.tck","TALL_016","2014-06-16T14:43Z","2015-02-11T17:00Z","TALL_016.20140616",NA,"TALL_016.20140616.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",1,"OK","90% ethanol","125281",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"98237701-398f-4453-b5b9-c962e78443ba","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T12:00Z","TALL_003.20140616",NA,"TALL_003.20140616.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",25,"OK","95% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"41b30ac1-c3a0-4776-a5a7-414f174703a0","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T17:00Z","TALL_003.20140616",NA,"TALL_003.20140616.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",2,"OK","90% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"78e92844-9413-4185-aa7e-8cb59af8ce83","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T17:00Z","TALL_003.20140616",NA,"TALL_003.20140616.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",1,"OK","90% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"8be7d235-4ed3-4549-8226-db1217a3c4c9","TALL_006.tickPlot.tck","TALL_006","2014-06-17T13:07Z","2015-02-13T17:00Z","TALL_006.20140617",NA,"TALL_006.20140617.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",2,"OK","90% ethanol","125270",NA,"Philip Panhorst","Georgia Southern University","","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
