"uid","namedLocation","plotID","collectDate","identifiedDate","eventID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","dataQF"
"9fd9de2a-89bb-4bd3-840f-9d3190746a6f","TALL_003.tickPlot.tck","TALL_003","2014-05-28T15:05Z","2015-02-09T17:00Z","TALL_003.20140528","TALL_003.20140528.AMBSPP.N","Amblyomma spp.","AMBSPP","genus","Ixodidae",NA,NA,NA,"Amblyomma",NA,"spp.",NA,NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf","","Nymph",41,"OK","90% ethanol","125261",NA,"Lorenza Beati","Georgia Southern University",NA,""
"f2c28793-0129-482b-a0f2-d522f5f864c7","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T12:00Z","TALL_001.20140616","TALL_001.20140616.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",10,"OK","95% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample","legacyData"
"498bfc19-b5e3-44ff-bf9c-d5acdfee2249","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T17:00Z","TALL_001.20140616","TALL_001.20140616.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",1,"OK","90% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample",""
"5e153283-3578-4695-98be-82701480a21d","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T17:00Z","TALL_001.20140616","TALL_001.20140616.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",2,"OK","90% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample",""
"eed7c7d5-d075-4660-8a0a-0a574b235e4e","TALL_016.tickPlot.tck","TALL_016","2014-06-16T14:43Z","2015-02-11T17:00Z","TALL_016.20140616","TALL_016.20140616.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",1,"OK","90% ethanol","125281",NA,"Philip Panhorst","Georgia Southern University","",""
"b471181a-9a5d-42fd-9a48-8d9e4982980d","TALL_016.tickPlot.tck","TALL_016","2014-06-16T14:43Z","2015-02-11T17:00Z","TALL_016.20140616","TALL_016.20140616.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",1,"OK","90% ethanol","125281",NA,"Philip Panhorst","Georgia Southern University","",""
"9cd0f9d4-b1a9-4173-af15-b7795752e530","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T17:00Z","TALL_003.20140616","TALL_003.20140616.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",1,"OK","90% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","",""
"5eb778fa-93d4-4778-a672-6908c7665d93","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T12:00Z","TALL_003.20140616","TALL_003.20140616.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",25,"OK","95% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","","legacyData"
"e1c70a7f-74df-40fe-b4ac-58980e2015dd","TALL_003.tickPlot.tck","TALL_003","2014-06-16T15:44Z","2015-02-11T17:00Z","TALL_003.20140616","TALL_003.20140616.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",2,"OK","90% ethanol","125262",NA,"Philip Panhorst","Georgia Southern University","",""
"e7abdad8-228c-4d4b-b532-fa7fadded328","TALL_006.tickPlot.tck","TALL_006","2014-06-17T13:07Z","2015-02-13T12:00Z","TALL_006.20140617","TALL_006.20140617.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",6,"OK","95% ethanol","125270",NA,"Philip Panhorst","Georgia Southern University","","legacyData"
"c9bf35a7-610a-464f-a9e5-ed14b3438f91","TALL_006.tickPlot.tck","TALL_006","2014-06-17T13:07Z","2015-02-13T17:00Z","TALL_006.20140617","TALL_006.20140617.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",2,"OK","90% ethanol","125270",NA,"Philip Panhorst","Georgia Southern University","",""
"3585a13e-d7b2-40fe-9ae9-d1cb2a39b90b","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T17:00Z","TALL_008.20140617","TALL_008.20140617.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",5,"OK","90% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","",""
"639056d5-6963-4466-9f04-0716e71fd99f","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T17:00Z","TALL_008.20140617","TALL_008.20140617.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",2,"OK","90% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","",""
"5e5d2c72-b8d7-4122-b507-1e31c457beaa","TALL_008.tickPlot.tck","TALL_008","2014-06-17T14:37Z","2015-02-13T12:00Z","TALL_008.20140617","TALL_008.20140617.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",12,"OK","95% ethanol","125276",NA,"Philip Panhorst","Georgia Southern University","","legacyData"
"b46b75e7-5506-4b8b-8c53-2595f2170aee","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T12:00Z","TALL_002.20140617","TALL_002.20140617.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",47,"OK","95% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample","legacyData"
"12814fec-53b4-4d5a-96f9-a7f4e9e10e3e","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T17:00Z","TALL_002.20140617","TALL_002.20140617.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",7,"OK","90% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample",""
"e9a0d806-22cb-4c8a-8fc1-a466498b1b6e","TALL_002.tickPlot.tck","TALL_002","2014-06-17T15:55Z","2015-02-16T17:00Z","TALL_002.20140617","TALL_002.20140617.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",2,"OK","90% ethanol","125253",NA,"Philip Panhorst","Georgia Southern University","A small spider removed from original sample",""
