"subsampleID","sampleID","uid.x","namedLocation","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","collectDate","eventID","sampleCode","samplingMethod","totalSampledArea","targetTaxaPresent","adultCount","nymphCount","larvaCount","sampleCondition.x","samplingProtocolVersion","measuredBy","remarks.x","dataQF.x","uid.y","identifiedDate","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount.x","sampleCondition.y","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName.x","remarks.y","dataQF.y","uid","endDate","testedDate","testingID","batchID","individualCount.y","sampleCondition","testProtocolVersion","testResult","testPathogenName","remarks","testedBy","laboratoryName.y","dataQF","startDate","controlType","criteriaMet"
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","42abef40-12d2-4a89-8eea-11adb9d3634c","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.003","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Positive","HardTick DNA Quality",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","94749fb7-e8d3-42b3-8542-7de8b81de8bc","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.005","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Borrelia sp.",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","03bb0699-8eae-4a06-9b5f-5c921b5a0173","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.009","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Francisella tularensis",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","ed7c6d3f-84f3-4aac-bef7-004895ed85ce","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.014","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Borrelia miyamotoi",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","e2da57a1-5dcb-46c7-9a70-a34c754fd8f1","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.007","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Borrelia miyamotoi",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","3d18e659-1a23-4a53-8ccf-ee22bd254892","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.009","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Anaplasma phagocytophilum",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","5763da6f-65f9-4a8d-8b20-33328a884a64","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.002","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Borrelia miyamotoi",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","8d5bffa5-d9a6-44a7-beab-be1f8af605e3","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.002","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Borrelia lonestari",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","d2cca180-63e9-4995-812e-cb7b0f2f29b8","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.007","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","","Babesia microti",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
"TALL_001.20140527.AMBAME.N","TALL_001.20140527","405b9910-e4f0-4716-88ac-ff0279efcb7e","TALL_001.tickPlot.tck","D08","TALL","TALL_001","distributed","deciduousForest",32.97637,-87.432184,"WGS84",20.2,114.6,0.1,"2014-05-27T14:35Z","TALL.2014.21",NA,"drag",160,"Y",2,17,0,"No known compromise","NEON.DOC.014045vD","0JtiNFwhnxvQnvzQuG9MqQ==","","legacyData","ba451988-bdcb-4cdb-bdd6-fdc61c345796","2015-02-02T17:00Z","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"","4960c45d-b797-4460-94f1-15fb84c4dd33","2014-05-27T15:31Z","2017-03-23","TALL_001.20140527.AMBAME.N.T.008","NEON_20170227",1,"OK","UMASS_LMZ_tickPathogens_SOP_2016-08-29.pdf","Negative","Ehrlichia ewingii",NA,"wK9iiuBPE+pQoUpsMlAp9A==","University of Massachusetts Laboratory of Medical Zoology","",NA,NA,NA
