"individualID","namedLocation","domainID","siteID","uid.x","date.x","eventID.x","plotID.x","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks.x","recordedBy.x","measuredBy.x","dataQF.x","points","uid.y","date.y","eventID.y","plotID.y","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.y","measuredBy.y","recordedBy.y","dataQF.y","api.utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","api.elevation","adjElevationUncertainty"
"NEON.PLA.D16.WREF.02495","WREF_078.basePlot.vst","D16","WREF","172303d8-7299-4231-87bd-d0809470a309","2017-10-27","vst_WREF_2017","WREF_078","ok","small tree","Live, physically damaged",7.4,130,1.4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_078.basePlot.vst.NA","cfc6d92e-3e05-44b9-932c-b6b70576ef6e","2017-10-30","vst_WREF_2017","WREF_078",41,1,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02496","WREF_078.basePlot.vst","D16","WREF","9d2ec13b-998f-4542-8673-f926cdba6cda","2017-10-27","vst_WREF_2017","WREF_078","ok","sapling","Standing dead",NA,NA,0.6,NA,NA,NA,NA,NA,NA,"",1.3,10,NA,NA,"","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_078.basePlot.vst.NA","4ad85e09-bdf5-4410-bc94-c9bf88080da4","2017-10-30","vst_WREF_2017","WREF_078",41,1,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02497","WREF_078.basePlot.vst","D16","WREF","79ea9304-dd0b-4eb4-83d3-db3fc18b7afb","2017-10-27","vst_WREF_2017","WREF_078","ok","sapling","Live",NA,NA,0.7,NA,NA,NA,NA,NA,NA,"",1.2,10,NA,NA,"","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_078.basePlot.vst.NA","300bcadd-b88b-4f74-b101-679740b3f0aa","2017-10-30","vst_WREF_2017","WREF_078",41,1,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02498","WREF_079.basePlot.vst","D16","WREF","7d461ef9-0f99-4b5c-b28e-12c274b68090","2017-10-26","vst_WREF_2017","WREF_079","ok","small tree","Live",9.4,130,5.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","legacyData","WREF_079.basePlot.vst.NA","0b5e5d28-2429-4a1e-b151-3904ae5416e6","2017-10-26","vst_WREF_2017","WREF_079",41,4,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02499","WREF_079.basePlot.vst","D16","WREF","63ebbf13-271b-4db4-8300-4fb2d4c9770a","2017-10-26","vst_WREF_2017","WREF_079","ok","small shrub","Live",NA,NA,0.7,0.3,NA,NA,0.5,0.5,NA,"ellipsoid or sphere",1.1,10,NA,NA,"","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","legacyData","WREF_079.basePlot.vst.NA","ade93f40-6536-4cff-9b82-83d74535dca9","2017-10-26","vst_WREF_2017","WREF_079",41,4,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","MANE2","Mahonia nervosa (Pursh) Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02500","WREF_079.basePlot.vst","D16","WREF","99bb681e-e252-436a-8d33-9de0d81e86d8","2017-10-26","vst_WREF_2017","WREF_079","ok","small shrub","Live",NA,NA,0.6,0.4,NA,NA,0.6,0.4,NA,"ellipsoid or sphere",1,10,NA,NA,"","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","legacyData","WREF_079.basePlot.vst.NA","67cc2e48-950d-43b9-9a49-b3c47a700bdc","2017-10-26","vst_WREF_2017","WREF_079",41,4,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","MANE2","Mahonia nervosa (Pursh) Nutt.","species",NA,"",NA,"","","rxvQRApCCKY/UVEtKW1BFeWgBpZ8J3yRI94VQnzKk1o=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.03271","WREF_081.basePlot.vst","D16","WREF","3bef5fc6-67b9-45c1-9506-e35ca6bfcc37","2017-10-20","vst_WREF_2017","WREF_081","ok","single bole tree","Dead, broken bole",51.2,130,2.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=","legacyData","WREF_081.basePlot.vst.59","4ea6455e-0afc-48de-a645-a73850086364","2017-10-24","vst_WREF_2017","WREF_081",41,NA,59,18.5,117.8,"N",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA,"10N",5074932.42258088,581327.001841069,0.84,45.823238,-121.95324,369.27,1.3
"NEON.PLA.D16.WREF.03272","WREF_081.basePlot.vst","D16","WREF","f3aa9bec-33c0-4e23-971e-868a7ec85c01","2017-10-20","vst_WREF_2017","WREF_081","ok","single bole tree","Live, broken bole",12,130,7.2,NA,3.2,NA,NA,NA,NA,"",NA,NA,NA,NA,"","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=","legacyData","WREF_081.basePlot.vst.59","5ea8ddb4-9ddc-43cb-bcec-fe743ded82c1","2017-10-24","vst_WREF_2017","WREF_081",41,NA,59,14.3,122.2,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA,"10N",5074933.43060298,581322.737655303,0.84,45.823238,-121.95324,369.27,1.3
"NEON.PLA.D16.WREF.03273","WREF_081.basePlot.vst","D16","WREF","97b5b18d-844a-4623-a57d-3ef91b93cb5c","2017-10-20","vst_WREF_2017","WREF_081","ok","single bole tree","Live",12.3,130,7.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"Chlorotic foliage. Early branch dieoff. Needle loss.","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=","legacyData","WREF_081.basePlot.vst.59","f511cef6-895d-443d-b52d-4190dcf930c9","2017-10-24","vst_WREF_2017","WREF_081",41,NA,59,12.6,99.3,"N",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA,"10N",5074939.01452558,581323.071475054,0.84,45.823238,-121.95324,369.27,1.3
"NEON.PLA.D16.WREF.03274","WREF_081.basePlot.vst","D16","WREF","5e3d32e8-d865-425c-908c-4b1492c1716c","2017-10-20","vst_WREF_2017","WREF_081","ok","single bole tree","Standing dead",19,130,9.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=","legacyData","WREF_081.basePlot.vst.59","911c9ae2-77bc-4893-8e4a-d5780202a77a","2017-10-24","vst_WREF_2017","WREF_081",41,NA,59,9.5,93.3,"N",NA,NA,"NEON.DOC.000987vG","THPL","Thuja plicata Donn ex D. Don","species",NA,"",NA,"","","+U+GA8YvyAcIR2iT16bCsJaxBTBeLP3Wg8rQ1wbUcL4=","8kXoOpAOzaUMpv0WDeMaGRfSZUXYrtMVEL8cHv62ER4=",NA,"10N",5074940.50387547,581320.121340285,0.84,45.823238,-121.95324,369.27,1.3
