"DPID","DPName","ABBY","ARIK","BARC","BARR","BART","BIGC","BLAN","BLDE","BLUE","BLWA","BONA","CARI","CLBJ","COMO","CPER","CRAM","CUPE","DCFS","DEJU","DELA","DSNY","FLNT","GRSM","GUAN","GUIL","HARV","HEAL","HOPB","JERC","JORN","KING","KONA","KONZ","LAJA","LECO","LENO","LEWI","LIRO","MART","MAYF","MCDI","MCRA","MLBS","MOAB","NIWO","NOGP","OAES","OKSR","ONAQ","ORNL","OSBS","POSE","PRIN","PRLA","PRPO","PUUM","REDB","RMNP","SCBI","SERC","SJER","SOAP","SRER","STEI","STER","SUGG","SYCA","TALL","TEAK","TECR","TOMB","TOOK","TOOL","TREE","UKFS","UNDE","WALK","WLOU","WOOD","WREF","YELL"
"DP1.00023.001","Shortwave and longwave radiation (net radiometer)","1","1",1,"1","1","0","1","0","0",NA,"1","1","1","1","1","1","0","1","1","1","1",1,"1","1","0","1","1","1","1",1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1",1,1,"1","1","0","0",NA,"1","1","1","1","1","1","1","1","1","0"
"DP1.00024.001","Photosynthetically active radiation (PAR)","1","1",1,"1","1","0","1","0","0",NA,"1","1","1","1","1","1","0","1","1","1","1",1,"1","1","0","1","1","1","1",1,"1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","0","1","1","1",1,1,"1","1","0","0",NA,"1","1","1","1","1","1","1","1","1","0"
"DP1.00033.001","Phenology images","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.00034.001","CO2 concentration - turbulent","0",NA,NA,"0","0",NA,"0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"0","0","0"
"DP1.00035.001","H2O concentration - turbulent","0",NA,NA,"0","0",NA,"0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"0","0","0"
"DP1.00036.001","Atmospheric CO2 isotopes","0",NA,NA,"0","0",NA,"0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"0","0","0"
"DP1.00037.001","Atmospheric H2O isotopes",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,"0",NA,NA,"0",NA,"0",NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,"0","0","0"
"DP1.00038.001","Stable isotope concentrations in precipitation",NA,"2018",NA,"2018","1",NA,"2018",NA,"2018",NA,"2018",NA,"2018",NA,"1",NA,"2018",NA,NA,"2018",NA,NA,"2018","2018","2018","1","2018",NA,"1",NA,NA,NA,"2018",NA,NA,"2018",NA,NA,NA,NA,NA,NA,"2018","2018","1","1","2018",NA,"2018","2018","1",NA,"2018",NA,NA,"2019","2018","1","2018","2018","2018",NA,"1","1",1,NA,"2018","2018",NA,NA,NA,NA,"2018",NA,"2018","1",NA,NA,"2018","1","2019"
"DP1.00040.001","Soil heat flux plate","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.00041.001","Soil temperature","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","0","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","0"
"DP1.00042.001","Snow depth and understory phenology images","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","1","1","1","1",1,NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","1"
"DP1.00043.001","Spectral sun photometer - calibrated sky radiances",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"0",NA,"1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","0",NA,"1",NA,1,NA,NA,"1","0",NA,NA,NA,"1",NA,"1","1",NA,NA,"1","0","0"
