Name,Code,Supplier,HOPB,LEWI,POSE,BARC,FLNT,SUGG,CUPE,GUIL,CRAM,LIRO,KING,MCDI,LECO,WALK,BLWA,MAYF,TOMB,PRLA,PRPO,ARIK,BLUE,PRIN,BLDE,COMO,WLOU,SYCA,REDB,MART,MCRA,BIGC,TECR,OKSR,TOOK,CARI,BART,HARV,BLAN,SCBI,SERC,DSNY,JERC,OSBS,GUAN,LAJA,STEI,TREE,UNDE,KONA,KONZ,UKFS,GRSM,MLBS,ORNL,DELA,LENO,TALL,DCFS,NOGP,WOOD,CPER,RMNP,STER,CLBJ,OAES,YELL,MOAB,NIWO,JORN,SRER,ONAQ,ABBY,WREF,SJER,SOAP,TEAK,BARR,TOOL,BONA,DEJU,HEAL,PUUM
Soil physical properties (Megapit),DP1.00096,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2012,2013,2013,2014,2013,2012,2012,2015,2014,2015,2015,2013,2014,2014,2014,2015,2013,2013,2013,2015,2014,2012,2013,2012,2012,2013,2013,2016,2013,2018,2014,2014,2013,2013,2014,2015,2017,2016,2016,2016,2016,2016,2017,2015,2015,2018
Soil chemical properties (Megapit),DP1.00097,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2012,2013,2013,2014,2013,2012,2012,2015,2014,2015,2015,2013,2014,2014,2014,2015,2013,2013,2013,2015,2014,2012,2013,2012,2012,2013,2013,2016,2013,2018,2014,2014,2013,2013,2014,2015,2017,2016,2016,2016,2016,2016,2017,2015,2015,2018
Relative Humidity,DP1.00098,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Sensible heat flux,DP4.00002,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Latent heat flux,DP4.00137,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Momentum flux,DP4.00007,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Temporally Interpolated H2O Concentration,DP2.00009,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Temporally Interpolated PAR-Line,DP2.00016,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Temporally Interpolated Shortwave and Longwave Radiation (Net radiometer),DP2.00020,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Temporally Interpolated Triple Aspirated Tower Temperature,DP2.00023,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Tower Temperature Profile,DP3.00008,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
CO2 Concentration Profile,DP3.00009,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
H2O Concentration Profile,DP3.00010,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Ecosystem exchange; Tower - NEE,DP4.00067,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
"3D Wind Speed, Direction and Sonic Temperature",DP1.00007,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
3D Wind Attitude and Motion Reference,DP1.00010,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Wet deposition chemical analysis,DP1.00013,TIS,NA,NA,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2018,2019,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,2018,2018,2018,2019,2018,2019,2018,2017,2019,2019,2018,2019,2018,2019,2018,2018,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2019,2018,2018,2019,2018,2018,2019,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
Phenology images,DP1.00033,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
CO2 Concentration - Turbulent,DP1.00034,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
H2O Concentration - Turbulent,DP1.00035,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Atmospheric CO2 Isotope,DP1.00036,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Stable isotope concentrations in precipitation,DP1.00038,TIS,NA,NA,NA,NA,NA,NA,2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2018,2019,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,2018,2018,2018,2019,2018,2019,2018,2017,2019,2019,2018,2019,2018,2019,2018,2018,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2019,2018,2018,2019,2018,2018,2019,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
Soil heat flux plate,DP1.00040,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Soil temperature,DP1.00041,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Snow depth and understory phenology images,DP1.00042,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Soil water and salinity,DP1.00094,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Soil CO2 concentration,DP1.00095,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
CO2 Concentration - Storage,DP1.00099,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
H2O Concentration - Storage,DP1.00100,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Temporally Interpolated Biological Temperature,DP2.00004,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Temporally interpolated Photosynthetically Active Radiation,DP2.00005,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Temporally Interpolated Soil Temperature,DP2.00006,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Temporally Interpolated CO2 Concentration,DP2.00008,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Summary weather statistics,DP4.00001,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Precipitation/Primary,DP1.00006,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2018,2017,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Shortwave Radiation (Primary Pyranometer),DP1.00022,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Dust and Particulate Size Distribution,DP1.00017,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2017,NA,NA,NA,2017,2017,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atmospheric H2O isotopes,DP1.00037,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Particulate Mass,DP1.00101,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2016,2016,2016,2017,2017,2016,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2017,2017,2017,2017,2017,2016,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2018,2018,2017,2018,2017,2017,2017,2017,2017,2018
Spectrometer Orthrorectified at-Sensor Radiance,DP1.30008,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
LiDAR Slant Range Waveform,DP1.30001,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2016,2016,2016,2016,2016,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Discrete Return LiDAR Point Cloud,DP1.30003,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Spectrometer Orthorectified Surface Directional Reflectance,DP1.30006,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
High-resolution Orthorectified camera imagery,DP1.30010,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Canopy Nitrogen,DP2.30018,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Canopy Water Content,DP2.30019,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Canopy Xanthophyll Cycle,DP2.30020,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Canopy Lignin,DP2.30022,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Vegetation Indices - Spectrometer,DP2.30026,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
Ecosystem Structure,DP3.30015,AOP,2016,2016,2016,2014,2014,2014,2018,2018,2016,2017,2016,2017,2015,2015,2015,2015,2015,2016,2016,2017,2017,2016,2019,2017,2017,NA,2017,2017,2019,2013,2013,2017,2017,2017,2014,2014,2016,2016,2016,2014,2014,2014,2018,2018,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2016,2016,2016,2013,2017,2013,2016,2016,2019,2017,2017,2017,2017,2017,2017,2017,2013,2013,2013,2017,2017,2017,2017,2017,2019
